===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,firstStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
58,,58,2018-05-07 00:00:00,1070.0,1076.0,1053.0,1076.0,2949146.0,,firstStrategy,58,736821.0,Broker,58,10000.0,10000.0,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,,59,2018-05-08 00:00:00,1078.0,1078.0,1069.0,1070.0,2202341.0,,firstStrategy,59,736822.0,Broker,59,10000.0,10000.0,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,,60,2018-05-09 00:00:00,1078.0,1120.0,1064.0,1082.0,39562889.0,,firstStrategy,60,736823.0,Broker,60,10000.0,10000.0,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,,61,2018-05-12 00:00:00,1090.0,1109.0,1075.0,1081.0,10631958.0,,firstStrategy,61,736826.0,Broker,61,10000.0,10000.0,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,,62,2018-05-13 00:00:00,1095.0,1095.0,1075.0,1075.0,5948581.0,,firstStrategy,62,736827.0,Broker,62,10000.0,10000.0,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,,63,2018-05-14 00:00:00,1095.0,1095.0,1079.0,1087.0,11484703.0,,firstStrategy,63,736828.0,Broker,63,10000.0,10000.0,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,,64,2018-05-15 00:00:00,1092.0,1092.0,1069.0,1070.0,4553793.0,,firstStrategy,64,736829.0,Broker,64,10000.0,10000.0,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,,65,2018-05-16 00:00:00,1085.0,1089.0,1064.0,1070.0,5607759.0,,firstStrategy,65,736830.0,Broker,65,10000.0,10000.0,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,,66,2018-05-19 00:00:00,1083.0,1083.0,1066.0,1070.0,8829127.0,,firstStrategy,66,736833.0,Broker,66,10000.0,10000.0,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,,67,2018-05-20 00:00:00,1070.0,1075.0,1060.0,1070.0,10327788.0,,firstStrategy,67,736834.0,Broker,67,10000.0,10000.0,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,,68,2018-05-21 00:00:00,1061.0,1073.0,1059.0,1060.0,4513641.0,,firstStrategy,68,736835.0,Broker,68,10000.0,10000.0,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,,69,2018-05-22 00:00:00,1070.0,1077.0,1055.0,1067.0,8541987.0,,firstStrategy,69,736836.0,Broker,69,10000.0,10000.0,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,,70,2018-05-23 00:00:00,1065.0,1072.0,1052.0,1069.0,7082142.0,,firstStrategy,70,736837.0,Broker,70,10000.0,10000.0,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,,71,2018-05-26 00:00:00,1060.0,1067.0,1055.0,1060.0,6368487.0,,firstStrategy,71,736840.0,Broker,71,10000.0,10000.0,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,,72,2018-05-27 00:00:00,1060.0,1067.0,1055.0,1059.0,5286354.0,,firstStrategy,72,736841.0,Broker,72,10000.0,10000.0,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,,73,2018-05-28 00:00:00,1060.0,1062.0,1051.0,1059.0,4439561.0,,firstStrategy,73,736842.0,Broker,73,10000.0,10000.0,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,,74,2018-05-29 00:00:00,1059.0,1064.0,1048.0,1050.0,10950840.0,,firstStrategy,74,736843.0,Broker,74,10000.0,10000.0,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,,75,2018-05-30 00:00:00,1050.0,1059.0,1046.0,1050.0,14079435.0,,firstStrategy,75,736844.0,Broker,75,10000.0,10000.0,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,,76,2018-06-02 00:00:00,1050.0,1055.0,1048.0,1049.0,8788751.0,,firstStrategy,76,736847.0,Broker,76,10000.0,10000.0,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,,77,2018-06-03 00:00:00,1051.0,1054.0,1046.0,1050.0,6234493.0,,firstStrategy,77,736848.0,Broker,77,10000.0,10000.0,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,,78,2018-06-09 00:00:00,1051.0,1051.0,1036.0,1049.0,5261612.0,,firstStrategy,78,736854.0,Broker,78,10000.0,10000.0,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,,79,2018-06-10 00:00:00,1042.0,1052.0,1038.0,1045.0,7193796.0,,firstStrategy,79,736855.0,Broker,79,10000.0,10000.0,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,,80,2018-06-11 00:00:00,1040.0,1050.0,1039.0,1043.0,5369106.0,,firstStrategy,80,736856.0,Broker,80,10000.0,10000.0,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,,81,2018-06-12 00:00:00,1049.0,1076.0,1043.0,1061.0,35008865.0,,firstStrategy,81,736857.0,Broker,81,10000.0,10000.0,BuySell,81,,,Trades - Net Profit/Loss,81,,
